Send order,Priority,Company,Score,Wave,Segment/Type,Website,Areas,Portfolio size,Decision maker,Best channel,Email,WhatsApp/Phone,Instagram/Social,Contact verified?,Message pack,Owner,Status,Date 1st touch,Follow-up due,Replied?,Reply notes,Next action,Notes
1,A,Villa Management Bali,87.5,Wave 1 / Top founder-led target,"Villa management for overseas owners, new investors and OTA hosts",https://villa-management-bali.com/,Uluwatu; Pecatu; Ungasan; Nusa Dua; Jimbaran; Amed; Bukit; East Bali,Unknown,"Desi, Founder",WhatsApp-first,contact@villa-management-bali.com,+62 8133 7334 871,https://www.instagram.com/villa.management.bali/,Yes,See outreach_packs.md,Assistant,Not contacted,,,No,,Send WhatsApp to Desi; angle around overseas-owner control-at-a-distance and fast response,Very strong message-market fit; founder-led and easy to personalize
2,B+,OriVista,83.4,Expansion / Wave 2,Private pool villa management + direct booking / guest experience platform,https://orivista.com/property-management,Canggu; Seminyak; Ubud; Uluwatu; Umalas; Tabanan,52+ private pool villas,"Manish Agarwal, Founder",WhatsApp / email / website,support@orivista.com,+62 811 3803 600,Unknown,Yes,See outreach_packs.md,Assistant,Not contacted,,,No,,Prepare audit around direct booking + concierge response consistency,Slightly above target band but commercially strong; dedupe vs lead_list.csv Orivista seed row
3,A,Supala Villa Management,87.8,Expansion / Wave 1.5,"Villa/hospitality management; properties, hotels, resorts, restaurants, cafes",https://supalavillamanagement.com/,Bali island-wide; Ubud/Gianyar base,40+ properties,"Kadek Purnama Dewi, Personal Assistant; Wayan Wira Jana Putra, Corporate OM; Rossy Astagina, Senior Sales; ultimate decision-maker unknown",Email / phone / website,info@supalavillamanagement.com,+62 859 5504 7807; +62 877 6156 6391,Unknown,Yes,See outreach_packs.md,Assistant,Not contacted,,,No,,Add to Wave 1.5; verify economic buyer; prepare audit around multi-channel ops and reporting,Very clean 40+ portfolio match
4,A,Short Stay Bali / TJM,93.3,Wave 1 / Top micro-audit,Luxury villa management; rental platform; management engine,https://shortstaybali.com/ ; https://land.managementbali.com/,Canggu; Ubud; Seminyak; Uluwatu; Pererenan; Nusa Dua,70-80+ villas/properties; 2 resorts,"Antoine Cardyn, Director; Lionadi Teja, Reservation Manager; Agung Trawina, Standard Operation Manager",WhatsApp + email,info@shortstaybali.com; balitertatajelas@gmail.com,+62 819-4421-6352,https://www.instagram.com/shortstaybali/,Yes,See outreach_packs.md,Assistant,Not contacted,,,No,,Create and send free public AI Ops Audit,Treat TJM + Short Stay Bali as one group with two angles
5,A,Balitecture Villa Management,91.0,Wave 1,"Vertically integrated architecture, construction, villa management and sales company",https://www.balitecture.com/services/villa-management,Canggu; Seminyak; Uluwatu; Cemagi; Bali broader,80+ villas managed,"Irene, Head of Villa Management; Byron, GM; Daniel, Co-Founder/Director",WhatsApp + email,hello@balitecture.com,+62 811-3909-045,https://www.instagram.com/balitecture/ ; LinkedIn company page,Yes,See outreach_packs.md,Assistant,Not contacted,,,No,,"Send targeted audit to Irene/Byron; position as orchestration layer, not chatbot",Very strong but more mature/larger account
6,A,Bingin Villa Management,88.3,Wave 1 / Top boutique pilot,Boutique villa management; operations; revenue optimization; direct booking,https://www.binginvillamanagement.com/,Bingin; Uluwatu; Bukit Peninsula,Small boutique portfolio; exact count unknown,"Reza, Founder; Syam, Head of Operations; Nico, Revenue Director & Advisor",WhatsApp + email,team@binginvillamanagement.com,+62 812-7133-4777,https://www.instagram.com/binginvillamgm/ ; LinkedIn company page,Yes,See outreach_packs.md,Assistant,Not contacted,,,No,,Send founder/ops mini-audit; offer to map one real inquiry + ops handoff,"One of the best first-pilot candidates: visible team, boutique, tech-aware"
7,A,Gravity Bali,89.0,Wave 1,"Premium villa management, marketing and investment operator",https://gravitybali.com/en/,Canggu; Seminyak; Balangan; Uluwatu; other prime Bali destinations,40+ exclusive villas,Operations / management leadership,WhatsApp + email,contact@gravitybali.com,+62 813-5370-4430,https://www.instagram.com/bali.gravity/ ; LinkedIn company page,Yes,See outreach_packs.md,Assistant,Not contacted,,,No,,"Send public audit around single intake, SLA, multilingual guest response, incident routing",Their own site language matches single intake / SLA / analytics needs
8,A,Nakula,78.0,Expansion / Wave 2,Villa / home rental and management operator,https://nakula.com/,Jimbaran; Sanur; Ketewel; Seminyak; Canggu; Tabanan,60-70+ luxury villas/properties,Unknown,WhatsApp / website,Unknown,Verify on contact page,Unknown,Verify,See outreach_packs.md,Assistant,Not contacted,,,No,,"Verify stakeholder, then send multilingual response audit",Slightly above sweet spot but operationally strong | Confirmed 60-70+ villas (High conf); still missing WhatsApp — contact-form/email route.
9,A,Nagisa Bali,87.3,Wave 1 / Wave 2,Luxury villa management and marketing,https://www.nagisa-bali.com/,Seminyak; Kuta; Canggu; Sanur; Ungasan; Nusa Dua; Jimbaran; Ubud; Bali broader,Unknown; established broad portfolio,"Lina Shimizu, Founder/Owner/CEO; Widiantara, GM; Mariyono, Corporate Sales Manager; Ridiantara, QC Manager",WhatsApp + email,info@nagisa-bali.com,+62 811 3945 378; (+62 361) 490 165; (+62 361) 499 081,https://www.instagram.com/nagisabalivillas/,Yes,See outreach_packs.md,Assistant,Not contacted,,,No,,Send audit focused on international guest inquiry flow and service consistency,Strong established operator; reachable leadership
10,A,My Villa Management,86.9,Expansion / Wave 1.5,Full-service villa management and villa rental operator,https://myvillamanagement.com/,Umalas base; Bali broader; Ubud; Umalas; other Bali areas,50 villas under management,"Stephane, Director; Siti, Villa Supervisor; Mita, Reservation & Marketing; Nani, Digital Marketing",Phone / website / social,Unknown,+62 361 8475096; +62 361 8475097,https://www.instagram.com/myvillamanagementbali/ ; Facebook/X/LinkedIn/YouTube metadata,Verify,See outreach_packs.md,Assistant,Not contacted,,,No,,Add to Wave 1.5; prepare audit focused on reservation + retreat inquiry handling,Very strong upper-band match with visible team/stakeholders
