company,website,location,segment,pain_hypothesis_ASSUMPTION,evidence_source,decision_maker_role,public_contact_channel,outreach_angle,priority_1_10
# NOTE: Company names/locations sourced from public lists cited in source_log.md (S15 S46-S49). Pain hypotheses are ASSUMPTIONS until mystery-shop verified. Websites marked verify = confirm via search before outreach. Do not guess personal emails; use public contact pages/business WhatsApp only.
# SOURCING PLAYBOOK to extend past 100: (1) bestaestheticsbali.com/clinics full 51-clinic directory; (2) Google Maps grid: villa management + area (Canggu/Pererenan/Uluwatu/Ubud/Seminyak); (3) Airbnb/Booking managed by credits on Bali listings; (4) bali.com/places real-estate directory; (5) toprealtors.ae + goodfirms.co/real-estate-companies/dubai; (6) Property Finder/Bayut agency pages; (7) Instagram location tags for clinics. Add rows using the same columns; score with the rubric: pain evidence (0-4) + deal value (0-3) + reachability (0-3).
Bukit Vista,bukitvista.com,Bali (island-wide),Villa management,High volume 20% fee island-wide portfolio - inquiry load likely exceeds manual capacity at night,S15 S22,Founder/GM,Website contact + blog,Mystery-shop their listing response; they publish market analysis - data-receptive buyer,9
Bali Management Villas,balimanagement.villas,Bali,Villa management,Public Trustpilot review documents hours-long unresponsive escalation,S8 S15,Owner/Ops Director,Website contact,Gentle: guest-communication triage + escalation SLA fix,9
Elite Havens,elitehavens.com (verify),Bali/Asia,Villa management (ultra-lux),Large staffed-villa portfolio across Asia - multi-property multi-channel inquiry complexity,S15,Regional GM,Website contact,Luxury guests expect instant concierge-grade response 24/7,7
Orivista,orivista.com,Canggu/Seminyak,Villa management,They publicly teach owners that slow response = bad management - must live up to it at scale,S9,Founder,Website contact,Their own content as the hook: help them guarantee the standard they preach,8
Gravity Bali,gravitybali.com,Bali,Villa management,Publicly commits to <60-min response and 7-day WhatsApp concierge - heavy manual load to sustain,S10,Founder/Ops,Website contact,Automate the standard they already promise; protect margins,8
Cabo Bali,cabobali.com,Uluwatu/Bukit,Villa management,Direct-booking engine strategy needs instant response to beat OTA convenience,S15,Founder,Website contact + WhatsApp (listed),Direct-booking conversion: answer in 60s or lose to Airbnb,8
Solar Property Bali,solarpropertybali.com,Bali,Villa mgmt + advisory,Publishes 2h-response professional standard - offer to make it 60 seconds,S13 S14,Founder,Website contact,Turn their published benchmark into a competitive weapon,7
My Villas in Bali,myvillasinbali.com,Seminyak area,Villa rentals,Warns travelers about slow-communication operators - differentiation opportunity,S11,Managing Director (Aaron per site),Website contact,Trust positioning: instant verified responses as anti-scam signal,7
Bnbprofits,bnbprofits.com (verify),Canggu,Villa mgmt + realty,1000+ listings claimed - inquiry volume across sales+rentals,S47,Founder,Public email on listicle (hello@),High-volume inquiry triage across two business lines,8
Kibarer Property / Villa Bali Sale,villabalisale.com,Bali,Realty + villa services,Publishes oversupply analysis - understands occupancy war; large listing base,S17 S24,Founder/Sales Director,Website contact,They know the market shifted - sell the operational response,8
Bali Villa Realty,balivillarealty.com,Bali,Realty + rentals,Content-heavy site with big listing volume - lead handling load,S19,Founder,Website contact,Speed-to-lead on sales inquiries,7
Paradyse Homes,paradysehomes.com,Canggu/Uluwatu/Ubud,Co-ownership platform,VC-backed data-driven - inquiries from fractional buyers need fast qualified handling,S19,Founder/Head of Growth,Website contact,Data-native buyer: show the response-time dashboard,7
Betterplace,betterplace.cc,Bali,Property platform/mgmt,Market-analysis publisher; platform inquiries multi-channel,S23,Founder,Website contact,Unified pipeline across platform + WhatsApp,6
Bali Home Immo,balihomeimmo.com (verify),Canggu/Seminyak/Uluwatu,Realty + rentals,Wide rental+sales portfolio digital nomad clientele writing at all hours,S47,Founder/Sales Manager,Website contact,After-hours buyer inquiries from EU time zones,8
Bali Exception,baliexception.com,Canggu/Uluwatu/Ubud,Realty + mgmt,Multilingual team (6 languages) - AI multilingual first response is a natural fit,S47,Founder,Website contact,Multi-language instant response matching their positioning,8
Propertia Bali,propertia.com,Berawa/Canggu,Real estate agency,Fast-moving listings (new every week) - inquiry volume; multilingual clientele,S47 S49,Founder/Sales Director,Website contact,Mystery-shop new-listing inquiry at 21:00,8
Heritage Bali,heritagebali.com,Uluwatu,Real estate agency (lux),High-ticket land/villa buyers - one saved deal = huge commission,S47,Founder,Website contact + listed info@ email,One recovered $500k+ buyer pays 10x the fee,8
