Villa,Operator / model,Units,BR,Price / ADR,Rating + reviews,Occupancy,Badges,OTA channels,Direct booking,Cancellation
ANJUNA Surf & Sunset,Balinest Villas (mgr),~207 (op.) [TOOL],1-3BR,2BR $144 · 1BR $66 [OBS],"AirB B1 4.87/86, A14 5.0/44 · Book 8.7/59 [OBS]",~85% claim [op.] · mkt ~62% [TOOL],"Superhost, Guest fav [OBS]",6 [OBS],"Guesty, 1 unit indexed — weak [OBS]",Non-refundable hook [OBS]
Hakuna Matata,Owners Natalia&Alvaro,~4 [OBS],2BR,"~$66 budget [OBS,low]",Book 9.1/240 · TA 4.0/~100 [OBS],NOT FOUND,Booking Genius [OBS],8+ [OBS],NO engine (Gmail/FB) [OBS],Non-ref (complaint) [NF]
Makai Uluwatu,House of Reservations (mgr),1 [OBS],2BR,~$388 [OBS],AirB 4.71 / 5.0-40 [OBS],NOT FOUND,none confirmed [NF],7+ [OBS],via HoR site [OBS],NOT FOUND
Amaya 1BR (NOUR),NOUR Uluwatu (brand),8 [OBS],1BR,NOT FOUND,Superhost; count [NF],NOT FOUND,Superhost [OBS],4+ [OBS],nouruluwatu.com + Cloudbeds engine — strong [OBS],NOT FOUND
Bingin Castaways,Bali Retreats agent; mgr Desi,1 (2BR) [OBS],2BR,AirB ~$154 · Book ~$132 · agent $199 [OBS],AirB 4.89/129 GF · Book 8.9/50 [OBS],NOT FOUND,Guest favorite [OBS],6+ [OBS],bingincastaways.com [OBS],"Strict, up to 100% fee [OBS]"
Zyloh collection,Villa Zyloh; host Wayan SH 12y,3-4 [OBS],2-4BR,Seaside 2BR ~$500-520 [OBS],AirB Seaside 4.89/106 GF · Agoda Sunset 9.6/7 [OBS],NOT FOUND,"Superhost, Guest fav [OBS]",6+ [OBS],villazyloh.com [OBS],NOT FOUND
The Young Villas,Brand; host Nia SH 6y,9+ [OBS],1-4BR,$150-400 (own card) [OBS],Book Uluwatu 9.4/75 · AirB 4.74/61 · Suites ~200 [OBS],NOT FOUND,Superhost [OBS],7+ [OBS],theyoungvillas.com + WA [OBS],Non-refundable [OBS]
Villa Palmera,n/i,~5 (Sentosa cluster) [OBS],2BR,$190-249 [OBS],count [NF],NOT FOUND,none confirmed [NF],2+ [OBS],NOT FOUND,Free (Agoda) [OBS]
COZ Bali Boutique,COZ (cozvillas) brand,5-6 [OBS],1-3BR,1BR $220 · 2BR $325 · 3BR $430 · OTA $166 [OBS],Book 9.3-9.6/72+ [OBS],NOT FOUND,SuperHost [OBS],2+ [OBS],cozvillas.com engine — strong [OBS],Free [OBS]
Marghe (Valentina),Valentina Villas collection,4 (Valentina) [OBS],1BR,"~$136 [OBS,low]",Book 9.5/4 (tiny) [OBS],NOT FOUND,none confirmed [NF],1-2 [OBS],Linktree/IG only [OBS],Free [OBS]
Villa Yin,Bali SuperHost group,300-569 (grp) [OBS],1BR,~$171 [OBS],NOT FOUND (new),NOT FOUND,none confirmed [NF],2+ [OBS],balisuperhost.com [OBS],NOT FOUND
KELUK Villas,Boutique (2 units),2 [OBS],1BR,$164 · Dua $222 [OBS],AirB 4.77 · Book loc 9.7 [OBS],NOT FOUND,none confirmed [NF],3+ [OBS],OTA-only [OBS],varies [NF]
Ayora Villas,Ayora brand (self-op),4 [OBS],1-2BR,from $117 [OBS],AirB Studio 4.88/88 SH · Book 9.8/9 [OBS],NOT FOUND,Superhost [OBS],4+ [OBS],ayoravillasbali.com (inquiry) [OBS],NOT FOUND
Uluwatu Surf Villas,Self-op estate (est. 2011),1-5BR estate [OBS],1-5BR,from $150 +$25pp incl [OBS],"TA 4.7/204, #11/118 [OBS]",NOT FOUND,brand/roundups [OBS],3+ +surf resellers [OBS],uluwatusurfvillas.com [OBS],NOT FOUND
Bukit Vista (Bingin),"Bukit Vista (mgr, 2012)",100+ [OBS],1-5BR,dynamic; flagship ~$82 promo [OBS],Sun&Moon Book 8.9/11 [OBS],NOT FOUND,SH manager [OBS],4+ [OBS],bukitvista.com [OBS],NOT FOUND
